"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"2","1.989939","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"3","6.290319","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"4","6.291000","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"5","7.993102","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"6","8.953163","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"7","12.361896","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"8","13.891593","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"9","15.359506","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"10","18.838740","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"11","19.513017","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"12","20.175157","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"13","22.603949","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"14","26.258258","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"15","30.342869","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"16","33.208731","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"17","34.860868","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"18","37.005216","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"19","40.978859","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"20","43.840106","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"21","47.042668","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"22","51.570760","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"23","55.012258","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"24","57.572607","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"25","60.032779","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"26","63.108160","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"27","64.634670","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"28","68.679686","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"29","70.542096","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"30","72.003441","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"31","73.748469","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"32","75.522523","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"33","79.224091","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"34","82.326698","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"35","84.278703","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"36","87.791498","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"37","90.083302","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"38","92.645366","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"39","95.838445","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"40","97.906567","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"41","100.878399","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"42","102.913046","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"43","105.536951","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"44","108.972727","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"45","109.911152","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"46","111.401122","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"47","113.314195","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"48","115.096990","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"49","120.104553","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"50","123.966125","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"51","126.127252","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"52","127.638199","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"53","129.603635","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"54","132.737889","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"55","133.962338","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"56","134.872292","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"57","137.679467","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"58","140.344256","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"59","143.217771","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"60","144.050148","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"61","146.328305","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"62","148.761182","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"63","150.920937","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"64","152.117798","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"65","154.509046","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"66","156.549782","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"67","159.450724","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"68","160.723144","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"69","160.760203","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"70","164.236129","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"71","165.064865","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"72","167.419881","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"73","170.861676","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"74","173.231322","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"75","174.248472","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"76","176.173158","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"77","179.473631","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"78","181.654227","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"79","184.455618","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"80","187.313171","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"81","188.649676","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"82","191.660736","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"83","194.312556","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"84","198.064733","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"85","202.877453","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"86","203.088568","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"87","204.798811","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"88","208.626323","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"89","211.560176","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"90","213.694769","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"91","215.724208","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"92","219.344172","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"93","223.021800","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"94","224.822905","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"95","228.844859","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"96","232.007932","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"97","234.285088","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"98","237.031215","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"99","241.624440","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
